win_percentage,team,matches_played
54.57627118644067,Pakistan,295
61.29032258064516,India,279
61.23188405797102,England,276
60.820895522388064,Australia,268
54.0,New Zealand,250
42.971887550200805,West Indies,249
53.036437246963565,South Africa,247
39.83402489626556,Sri Lanka,241
39.37823834196891,Bangladesh,193
40.74074074074074,Ireland,189
40.44117647058824,Zimbabwe,136
48.148148148148145,Netherlands,108
52.83018867924528,United Arab Emirates,106
46.601941747572816,Scotland,103
65.65656565656566,Afghanistan,99
66.66666666666666,Namibia,81
63.63636363636363,Nepal,77
40.54054054054054,Hong Kong,74
45.20547945205479,Malaysia,73
56.060606060606055,Uganda,66
45.0,Kenya,60
50.0,Papua New Guinea,56
39.62264150943396,Oman,53
43.39622641509434,Thailand,53
58.82352941176471,Germany,51
32.5,Nigeria,40
32.432432432432435,Singapore,37
41.17647058823529,United States of America,34
38.23529411764706,Kuwait,34
44.11764705882353,Canada,34
27.27272727272727,Botswana,33
75.0,Tanzania,28
46.42857142857143,Rwanda,28
34.61538461538461,Bulgaria,26
72.72727272727273,Romania,22
63.63636363636363,Malta,22
68.18181818181817,Jersey,22
38.095238095238095,Qatar,21
42.857142857142854,Bahrain,21
52.38095238095239,Czech Republic,21
10.0,Gibraltar,20
60.0,Austria,20
40.0,Denmark,20
36.84210526315789,Sierra Leone,19
16.666666666666664,Mozambique,18
27.77777777777778,Norway,18
41.17647058823529,Luxembourg,17
35.294117647058826,Bhutan,17
17.647058823529413,Maldives,17
70.58823529411765,Spain,17
47.05882352941176,Ghana,17
52.94117647058824,Vanuatu,17
43.75,Sweden,16
56.25,Guernsey,16
20.0,France,15
40.0,Bermuda,15
26.666666666666668,Serbia,15
64.28571428571429,Italy,14
38.46153846153847,Hungary,13
76.92307692307693,Belgium,13
58.333333333333336,Finland,12
54.54545454545454,Japan,11
50.0,Malawi,10
50.0,Cyprus,10
80.0,Isle of Man,10
55.55555555555556,Switzerland,9
55.55555555555556,Portugal,9
55.55555555555556,China,9
66.66666666666666,Indonesia,9
11.11111111111111,Philippines,9
37.5,Fiji,8
12.5,Saudi Arabia,8
14.285714285714285,Samoa,7
16.666666666666664,Belize,6
16.666666666666664,Swaziland,6
16.666666666666664,Greece,6
20.0,Argentina,5
40.0,Croatia,5
40.0,Bahamas,5
40.0,Seychelles,5
40.0,Brazil,5
60.0,Cook Islands,5
25.0,ICC World XI,4
33.33333333333333,Barbados,3
33.33333333333333,Panama,3
33.33333333333333,Israel,3
